archivo_pdf,resultado_xref
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_013_6948_Mesa_13.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_016_6949_Mesa_16.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_010_6948_Mesa_10.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_012_6949_Mesa_12.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_009_6948_Mesa_9.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_023_6949_Mesa_23.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_015_6948_Mesa_15.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_011_6948_Mesa_11.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_012_6948_Mesa_12.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_028_6949_Mesa_28.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_016_6948_Mesa_16.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_014_6948_Mesa_14.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_014_6949_Mesa_14.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_017_6949_Mesa_17.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_011_6949_Mesa_11.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_017_6948_Mesa_17.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_013_6949_Mesa_13.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_027_6949_Mesa_27.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_008_6949_Mesa_8.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_003_6949_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_018_6949_Mesa_18.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_020_6949_Mesa_20.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_029_6949_Mesa_29.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_022_6949_Mesa_22.pdf",CORRUPTO
