Departamento,Cod_Dep,Cod_Mun,Mesa,Archivo,Blanco_Puro_Pct,Diagnostico
ANTIOQUIA,01,035,10,E14_PRE_01_035_004_04_05_010_5112_Mesa_10.pdf,0.07,🟢 ESCANEO REAL
ANTIOQUIA,01,035,20,E14_PRE_01_035_003_03_02_020_5112_Mesa_20.pdf,0.02,🟢 ESCANEO REAL
ANTIOQUIA,01,001,7,E14_PRE_01_001_019_10_04_007_5068_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,12,E14_PRE_01_001_002_01_05_012_5016_Mesa_12.pdf,0.08,🟢 ESCANEO REAL
ANTIOQUIA,01,001,19,E14_PRE_01_001_029_15_06_019_5062_Mesa_19.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,163,3,E14_PRE_01_163_099_01_47_003_5211_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,28,E14_PRE_01_001_030_16_01_028_5043_Mesa_28.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,8,E14_PRE_01_001_099_18_A2_008_5099_Mesa_8.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,058,1,E14_PRE_01_058_098_00_01_001_5140_Mesa_1.pdf,0.02,🟢 ESCANEO REAL
ANTIOQUIA,01,001,17,E14_PRE_01_001_099_18_10_017_5098_Mesa_17.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,218,28,E14_PRE_01_218_001_00_03_028_5241_Mesa_28.pdf,0.02,🟢 ESCANEO REAL
ANTIOQUIA,01,088,3,E14_PRE_01_088_002_00_08_003_5156_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,196,18,E14_PRE_01_196_000_00_01_018_2078_Mesa_18.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,256,2,E14_PRE_01_256_001_00_03_002_5255_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,178,21,E14_PRE_01_178_003_00_01_021_5220_Mesa_21.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,237,5,E14_PRE_01_237_001_00_01_005_5249_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,088,22,E14_PRE_01_088_002_00_04_022_5156_Mesa_22.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,15,E14_PRE_01_001_019_10_05_015_5065_Mesa_15.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,29,E14_PRE_01_001_007_04_04_029_5077_Mesa_29.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,2,E14_PRE_01_001_001_01_03_002_5003_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,178,13,E14_PRE_01_178_001_00_01_013_5218_Mesa_13.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,220,15,E14_PRE_01_220_000_00_00_015_2088_Mesa_15.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,19,E14_PRE_01_001_023_12_04_019_5030_Mesa_19.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,214,12,E14_PRE_01_214_004_04_02_012_5238_Mesa_12.pdf,1.11,🔴 DEEPFAKE SINTÉTICO
ANTIOQUIA,01,001,8,E14_PRE_01_001_030_16_04_008_5037_Mesa_8.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,280,3,E14_PRE_01_280_002_00_02_003_5265_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,1,E14_PRE_01_001_016_08_05_001_5083_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,211,7,E14_PRE_01_211_099_00_70_007_5231_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,18,E14_PRE_01_001_029_15_03_018_5072_Mesa_18.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,14,E14_PRE_01_001_021_11_01_014_5026_Mesa_14.pdf,0.0,🟢 ESCANEO REAL
