dane_code,orig_has_text,alt_has_text,orig_xref_corrupt,alt_xref_corrupt,orig_image_bytes,alt_image_bytes,qr_match,qr_payload_count
01_280_99_A1_025.pdf,False,False,True,True,65421,50089,True,2
01_280_99_26_001.pdf,False,False,True,True,55631,52785,True,2
01_280_99_05_001.pdf,False,False,True,True,53487,51050,True,2
01_280_99_05_002.pdf,False,False,True,True,52014,50113,True,2
01_280_99_05_005.pdf,False,False,True,True,50115,50213,True,2
01_280_99_05_004.pdf,False,False,True,True,52625,50459,True,2
01_280_99_05_003.pdf,False,False,True,True,54732,52771,True,2
01_280_99_07_001.pdf,False,False,True,True,56617,56871,True,2
01_280_99_02_001.pdf,False,False,True,True,49862,47820,True,2
01_280_99_02_002.pdf,False,False,True,True,60631,60228,True,2
01_280_99_14_010.pdf,False,False,True,True,61751,52319,True,2
01_280_99_14_012.pdf,False,False,True,True,62961,55194,True,2
01_280_99_14_011.pdf,False,False,True,True,59099,62789,True,2
01_280_99_14_014.pdf,False,False,True,True,58382,51450,True,2
01_280_99_14_013.pdf,False,False,True,True,61545,53471,True,2
01_280_99_14_015.pdf,False,False,True,True,60220,54891,True,2
01_280_99_14_017.pdf,False,False,True,True,57427,55681,True,2
01_280_99_10_007.pdf,False,False,True,True,55052,49068,True,2
01_280_99_17_002.pdf,False,False,True,True,58788,48197,True,2
01_280_99_01_002.pdf,False,False,True,True,46994,49234,True,2
01_280_99_01_001.pdf,False,False,True,True,47667,50972,True,2
01_280_99_16_002.pdf,False,False,True,True,57795,50657,True,2
01_280_99_01_003.pdf,False,False,True,True,49239,51737,True,2
01_280_99_12_005.pdf,False,False,True,True,63815,54642,True,2
01_280_99_03_001.pdf,False,False,True,True,57832,51500,True,2
01_280_99_03_002.pdf,False,False,True,True,59137,52059,True,2
01_280_99_03_003.pdf,False,False,True,True,50347,51430,True,2
01_280_99_03_005.pdf,False,False,True,True,58929,51610,True,2
01_280_99_03_006.pdf,False,False,True,True,50863,52742,True,2
01_280_99_03_004.pdf,False,False,True,True,62517,50180,False,1
01_280_99_03_007.pdf,False,False,True,True,62598,52127,True,2
01_280_99_03_008.pdf,False,False,True,True,64623,51731,True,2
01_280_99_03_009.pdf,False,False,True,True,55896,55370,True,2
01_280_99_03_010.pdf,False,False,True,True,54968,53729,True,2
01_280_99_03_011.pdf,False,False,True,True,59486,51817,True,2
01_280_99_03_012.pdf,False,False,True,True,63895,53694,True,2
01_280_99_03_013.pdf,False,False,True,True,62627,49720,True,2
01_280_99_03_014.pdf,False,False,True,True,62912,52585,True,2
01_280_99_03_015.pdf,False,False,True,True,57627,49190,True,2
