archivo_pdf,resultado_xref,departamento,municipio,zona,puesto,mesa
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_016_6947_Mesa_16.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_16"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_012_6947_Mesa_12.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_12"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_013_6947_Mesa_13.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_13"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_006_6947_Mesa_6.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_6"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_014_6947_Mesa_14.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_14"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_003_6948_Mesa_3.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_3"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_006_6948_Mesa_6.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_6"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_009_6948_Mesa_9.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_9"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_008_6948_Mesa_8.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_8"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_013_6948_Mesa_13.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_13"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_012_6948_Mesa_12.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_12"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_011_6948_Mesa_11.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_11"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_007_6948_Mesa_7.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_7"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_016_6948_Mesa_16.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_16"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_010_6948_Mesa_10.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_10"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_014_6948_Mesa_14.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_14"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_003_6949_Mesa_3.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_3"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_015_6948_Mesa_15.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_15"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_001_6949_Mesa_1.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_1"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_017_6948_Mesa_17.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_17"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_002_6949_Mesa_2.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_2"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_009_6949_Mesa_9.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_9"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_014_6949_Mesa_14.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_14"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_010_6949_Mesa_10.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_10"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_007_6949_Mesa_7.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_7"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_004_6949_Mesa_4.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_4"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_011_6949_Mesa_11.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_11"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_012_6949_Mesa_12.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_12"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_005_6949_Mesa_5.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_5"
